ID;Nome;PastaOrigem;PastaDestino;PastaBackup
3046;Cliente-FATURA-DPREPORT-FIMPROCESSO;E:\PRODUCAO\Cliente\FATURA\DPREPORT\DPR_FIM_PROCESSAMENTO\;;E:\PRODUCAO\Cliente\FATURA\DPREPORT\DPR_INDEXAR_DADOS_ANALITICO\
3048;Cliente-FATURA-WFD-IMPRESSO-ALEATORIO;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA\;\\HSLAN028-0\SAIDAS_BV_FAT\ALEATORIOS\;E:\PRODUCAO\Cliente\FATURA\INPUTBLOG\
3049;Cliente-FATURA-WFD-IEEN;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA_PNET_IEEN\;\\HSLAN028-0\SAIDAS_BV_FAT\PDF_UNICO\;E:\PRODUCAO\Cliente\FATURA\ACTION\ENTRADA\
3050;Cliente-FATURA-WFD-IMPRESSO-ECM;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA_PNET_IEEN\;\\HSLAN028-0\SAIDAS_BV_FAT\PDF_UNICO\;E:\PRODUCAO\Cliente\FATURA\CARGA_ECM\
3051;Cliente-FATURA-MOVERSPOOL-GRAFICA;E:\PRODUCAO\Cliente\FATURA\MOVERSPOOL\MOV_ARQGRAFICA\;\\ft001\VALID\BV\PRD\upload\;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA_PNET_IEEN\
3052;Cliente-FATURA-MOVERSPOOL-ARQ. IMPI;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA_PNET_IEEN\;;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA_PNET_IMPI_ECM\
3053;Cliente-FATURA-QUEBRAPDF-IMPRESSO;E:\PRODUCAO\Cliente\FATURA\SAIDAS\PDF_UNICO\;E:\PRODUCAO\BV\FATURA\SAIDAS\ECM\;E:\PRODUCAO\Cliente\FATURA\CARGA_ECM\
3054;Cliente-FATURA-MOVERSPOOL-ARQ.-EXCLUSAO;E:\PRODUCAO\Cliente\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA\;;E:\PRODUCAO\Cliente\FATURA\DPREPORT\DPR_FIM_PROCESSAMENTO\
3056;Cliente-FATURA-MOVERSPOOL-ARQ.-CSV-DVA;E:\PRODUCAO\Cliente\FATURA\ARMAZEM\relatorios-regras;;E:\PRODUCAO\Cliente\FATURA\ARMAZEM\
3057;Cliente-FATURA-START;E:\PRODUCAO\Cliente\FATURA\START\;E:\PRODUCAO\BV\FATURA\FORMATAR_FATURA\PRINTNET\ENTRADA\;E:\PRODUCAO\Cliente\FATURA\START\BKP\
3058;Cliente-FATURA-2VIA-HSJ;E:\PRODUCAO\Cliente\FATURA_2VIA\HSJ\ENTRADA\;E:\PRODUCAO\BV\FATURA_2VIA\ACTION\ENTRADA\;E:\PRODUCAO\Cliente\FATURA_2VIA\HSJ\ENTRADA\BKP\
3059;Cliente-FATURA-2VIA-ACTION-EMAIL;E:\PRODUCAO\Cliente\FATURA_2VIA\ACTION\ENTRADA\; ;E:\PRODUCAO\Cliente\FATURA_2VIA\DPREPORT\DPR_FIMPRCESSAMENTO\
3060;Cliente-FATURA-2VIA-DPREPORT-FIMPROCESSAMENTO;E:\PRODUCAO\Cliente\FATURA_2VIA\DPREPORT\DPR_FIMPRCESSAMENTO\;;E:\PRODUCAO\Cliente\FATURA_2VIA\DPREPORT\DPR_INDEXAR_DADOS_ANALITICO\
3061;Cliente-FATURA-2VIA-DPREPORT-INDEXAR-DADOS-ANALITICO;E:\PRODUCAO\Cliente\FATURA_2VIA\DPREPORT\DPR_INDEXAR_DADOS_ANALITICO\;;E:\PRODUCAO\Cliente\FATURA_2VIA\PROCESSADOS\
3062;Cliente-FATURA-DPREPORT-INDEXAR DADOS ANALITICO;E:\PRODUCAO\Cliente\FATURA\DPREPORT\DPR_INDEXAR_DADOS_ANALITICO\;;E:\PRODUCAO\Cliente\FATURA\PROCESSADOS\
3063;Cliente-FATURA-DVA-FILE-UPLOAD;\\FT002\PARCEIROS\Cliente\PRD\DOWNLOAD\; ;E:\PRODUCAO\Cliente\FATURA\ARMAZEM\
3064;Cliente-FATURA-ACTION-EMAIL 2a VIA;E:\PRODUCAO\Cliente\FATURA\ACTION\ENTRADA\; ;E:\PRODUCAO\Cliente\FATURA\CARGA_ECM\

